"tilltalsnamn","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Amar",12,13,15,..,10,23,16,16,14,14,11
"Amel",..,..,..,..,11,..,..,..,..,..,..
"Amer",..,..,..,..,..,..,..,..,..,..,..
"Amin",11,23,22,12,33,22,23,26,25,24,29
"Amir",31,37,26,45,46,46,64,66,70,81,84
"Amos ",..,..,..,..,..,12,..,..,..,10,10
"Anas",..,..,10,23,23,34,42,39,26,67,47
"Anders",37,28,23,14,25,11,13,..,12,16,11
"Andi",11,..,10,..,..,..,..,..,15,14,..
"Andreas",204,173,116,102,62,56,58,50,44,44,40
"Andréas",..,..,..,..,..,..,..,..,..,..,..
"Andrej",..,..,..,12,11,..,..,11,10,..,11
"André",94,102,102,60,55,43,44,43,32,39,32
"Andrew",..,..,14,..,..,..,..,..,..,..,..
"Andy",16,17,13,16,15,14,15,..,13,10,..
"Anes",..,16,..,10,..,..,..,..,..,..,..
"Angelo",27,27,28,25,26,24,25,29,33,31,27
"Ante",12,13,11,10,17,..,..,11,11,..,..
"Anthon",14,15,14,14,10,..,10,..,10,..,11
"Anthony",16,25,25,18,29,28,29,21,21,17,28
"Antoni ",..,..,..,..,..,..,..,..,11,..,12
"Antonio",43,43,39,41,36,31,33,28,28,22,32
"Anton",914,840,887,809,694,654,616,648,602,570,450
"Aram ",..,..,..,..,..,10,10,..,13,12,11
"Aran",..,..,..,..,..,..,..,..,..,..,10
"Aras",..,..,..,..,10,..,..,..,10,10,..
"Arda",..,..,28,30,15,26,17,11,12,..,..
"Arian",20,17,13,10,17,23,18,19,22,22,14
"Arild ",..,..,..,..,..,..,..,..,11,..,..
"Arin ",..,..,..,..,..,..,..,11,..,..,..
"Arman",17,10,10,12,14,17,16,14,17,10,21
"Armin",24,14,20,11,18,18,16,..,16,17,18
"Aron",76,87,87,114,98,108,91,106,108,126,121
"Arthur",..,13,12,20,19,29,34,45,46,53,47
"Artin",13,..,..,11,10,14,11,..,16,10,..
"Artur",..,..,11,12,17,10,10,13,14,21,30
"Arve",..,..,..,..,..,..,12,..,..,..,..
"Arvid",413,442,475,485,500,544,589,563,531,565,540
"Arwid",..,..,10,13,..,..,..,..,10,10,11
"Arvin",15,21,14,14,21,22,26,13,20,18,26
"Aryan",..,..,..,..,12,..,12,10,..,14,11
"Assar",..,..,17,10,22,20,26,14,23,19,22
"Aston",..,15,19,25,29,57,51,51,78,84,93
"Astor ",..,..,..,10,..,14,13,16,10,13,16
"Atlas",..,..,..,..,..,..,..,..,..,..,10
"Atle",13,10,..,17,12,16,..,20,14,18,18
"August",108,116,110,108,139,153,166,180,222,240,261
"Axel",754,745,741,691,676,705,675,670,624,658,572
"Ayan",..,..,..,..,..,..,..,..,..,..,11
"Ayman ",..,..,..,..,..,..,..,..,17,12,26
"Ayoub",..,..,..,..,..,..,..,..,..,..,11
"Ayub",11,..,10,..,16,16,12,19,15,20,25
"Ayuub",..,..,..,..,..,..,..,..,..,..,11
"Aziz",..,..,..,..,11,..,..,..,..,..,..
"Baran",..,22,12,..,14,..,13,..,..,..,..
"Bastian",14,17,20,31,23,32,43,45,46,57,58
"Benjamin",309,310,338,370,387,418,450,432,405,397,452
"Ben",..,12,..,18,11,14,20,28,26,33,20
"Benyamin",..,..,..,..,..,..,..,13,..,13,..
"Beppe",..,..,..,..,..,..,..,..,16,..,15
"Berat",..,..,..,..,..,..,..,..,22,19,15
"Bernard",..,..,..,..,..,..,..,..,..,11,15
"Bertil",..,..,..,..,11,..,14,24,17,28,36
"Bilal",12,23,12,17,18,19,20,18,29,37,26
"Bill ",..,..,..,..,10,15,19,27,43,55,65
"Billy",19,14,14,..,14,28,25,39,51,46,49
"Birger",..,..,..,..,..,..,..,..,11,11,18
"Birk",19,11,11,..,11,14,15,23,16,16,19
"Björn",40,31,28,28,35,41,40,30,48,42,56
"Bob",..,..,..,..,..,..,18,13,..,15,16
"Bo",..,..,10,14,15,14,29,28,42,52,67
"Bosse",..,..,..,..,..,..,..,23,25,25,37
"Brandon",..,..,..,..,..,..,..,..,..,..,..
"Brian",10,11,..,16,10,10,10,12,10,..,..
"Bror",..,..,..,..,..,..,..,13,..,20,22
"Bruno",21,23,41,48,44,50,28,36,39,35,40
"Buster",..,..,16,18,14,14,10,..,..,..,..
"Caesar",14,12,19,17,23,24,18,10,14,11,13
"Calle",51,46,49,26,31,25,44,21,22,15,15
"Carl-Johan",19,10,..,..,11,..,..,..,..,..,..
"Carl",369,364,286,297,245,276,208,217,166,184,174
"Carlos",15,..,10,..,..,..,13,..,..,..,..
"Caspar",..,..,11,..,12,..,10,11,13,..,..
"Casper",284,273,273,264,242,238,252,270,232,224,229
"Caspian",16,21,23,25,25,69,69,76,90,86,64
"Cazper",..,..,..,10,12,..,..,..,..,..,..
"Ceasar",13,..,18,16,15,12,13,..,..,..,..
"Cesar",11,..,17,22,18,15,17,19,16,22,..
"Cevin",..,..,..,12,..,..,..,..,..,..,..
"Charbel",..,..,..,10,15,..,..,12,..,..,18
"Charles",..,..,16,20,15,20,26,13,24,29,37
"Charlie",86,124,157,212,246,393,524,559,709,711,627
"Chris",11,..,..,..,10,..,..,13,..,..,11
"Christian",75,75,74,71,64,68,66,55,72,59,81
"Christofer",10,..,..,..,..,..,..,..,..,..,..
"Christoffer",101,77,64,54,46,37,37,43,25,18,16
"Christopher",36,27,33,25,30,19,25,21,19,19,19
"Christos",..,..,..,..,..,..,..,..,..,10,..
"Claes",..,..,..,..,..,..,..,..,..,..,..
"Colin",35,45,59,48,71,80,77,92,115,151,199
"Collin",..,..,..,..,..,14,10,29,25,42,48
"Conrad",..,..,..,..,..,15,13,10,10,..,14
"Cornelis",11,..,..,11,13,14,15,25,30,21,51
"Cornelius",..,..,..,..,..,12,..,..,..,11,10
"Dag",13,..,..,..,13,12,..,17,11,23,14
"Damian",..,..,..,..,..,10,15,13,11,16,14
"Damien",..,..,..,11,13,13,16,22,17,14,11
"Damon",..,..,..,..,..,..,..,..,..,..,10
"Danial",10,..,..,..,..,..,..,10,..,..,10
"Daniel",355,319,271,243,208,211,220,174,192,169,164
"Danilo",..,..,..,..,..,..,10,14,10,..,10
"Dani",..,..,11,..,..,..,11,..,10,11,..
"Dan",..,..,..,..,..,..,..,..,..,..,..
"Danny",15,..,..,15,17,17,16,15,..,14,10
"Dante",40,62,87,141,116,129,128,117,118,116,150
"Danyar",..,..,..,..,..,..,11,..,10,..,..
"Darian",..,..,..,..,..,12,..,..,..,..,..
"Darin",14,59,45,34,24,31,28,26,23,28,27
"Dario",..,..,..,..,14,..,..,..,10,..,..
"Daris",..,..,..,..,..,..,..,..,..,..,11
"David",602,503,433,408,397,312,294,251,237,218,216
"Dean",..,..,..,..,..,..,..,..,..,10,..
