"tilltalsnamn","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Anthon",18,15,20,15,22,10,14,15,14,14,10,..,10,..,10,..,11
"Anthony",20,18,20,35,34,21,16,25,25,18,29,28,29,21,21,17,28
"Antoni ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,12
"Antonio",36,31,43,41,42,43,43,43,39,41,36,31,33,28,28,22,32
"Anton",1067,1091,1062,991,973,991,914,840,887,809,694,654,616,648,602,570,450
"Aram ",..,..,..,..,..,..,..,..,..,..,..,10,10,..,13,12,11
"Aran",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Aras",..,..,..,..,..,..,..,..,..,..,10,..,..,..,10,10,..
"Arda",..,..,..,..,..,..,..,..,28,30,15,26,17,11,12,..,..
"Arian",18,13,18,..,13,22,20,17,13,10,17,23,18,19,22,22,14
"Arild ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..
"Arin ",..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..
"Arman",..,16,..,11,..,10,17,10,10,12,14,17,16,14,17,10,21
"Armin",20,10,19,12,27,21,24,14,20,11,18,18,16,..,16,17,18
"Aron",37,43,61,49,70,71,76,87,87,114,98,108,91,106,108,126,121
"Arthur",..,..,..,13,14,15,..,13,12,20,19,29,34,45,46,53,47
"Artin",..,10,..,..,..,..,13,..,..,11,10,14,11,..,16,10,..
"Artur",..,..,..,..,..,..,..,..,11,12,17,10,10,13,14,21,30
"Arve",..,..,..,..,..,..,..,..,..,..,..,..,12,..,..,..,..
"Arvid",213,203,231,286,326,411,413,442,475,485,500,544,589,563,531,565,540
"Arwid",..,..,..,..,..,..,..,..,10,13,..,..,..,..,10,10,11
"Arvin",14,..,11,11,10,..,15,21,14,14,21,22,26,13,20,18,26
"Aryan",..,..,..,..,..,..,..,..,..,..,12,..,12,10,..,14,11
"Assar",..,..,..,..,..,..,..,..,17,10,22,20,26,14,23,19,22
"Aston",..,..,..,..,..,..,..,15,19,25,29,57,51,51,78,84,93
"Astor ",..,..,..,..,..,..,..,..,..,10,..,14,13,16,10,13,16
"Atlas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Atle",..,..,..,..,11,..,13,10,..,17,12,16,..,20,14,18,18
"August",84,87,105,104,133,130,108,116,110,108,139,153,166,180,222,240,261
"Axel",495,562,538,581,610,685,754,745,741,691,676,705,675,670,624,658,572
"Ayan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Ayman ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,12,26
