"tilltalsnamn","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Bertil",..,..,..,11,..,14,24,17,28,36
"Bilal",23,12,17,18,19,20,18,29,37,26
"Bill ",..,..,..,10,15,19,27,43,55,65
"Billy",14,14,..,14,28,25,39,51,46,49
"Birger",..,..,..,..,..,..,..,11,11,18
"Birk",11,11,..,11,14,15,23,16,16,19
"Björn",31,28,28,35,41,40,30,48,42,56
"Bob",..,..,..,..,..,18,13,..,15,16
"Bo",..,10,14,15,14,29,28,42,52,67
"Bosse",..,..,..,..,..,..,23,25,25,37
"Brandon",..,..,..,..,..,..,..,..,..,..
"Brian",11,..,16,10,10,10,12,10,..,..
"Bror",..,..,..,..,..,..,13,..,20,22
"Bruno",23,41,48,44,50,28,36,39,35,40
"Buster",..,16,18,14,14,10,..,..,..,..
"Caesar",12,19,17,23,24,18,10,14,11,13
"Calle",46,49,26,31,25,44,21,22,15,15
"Carl-Johan",10,..,..,11,..,..,..,..,..,..
"Carl",364,286,297,245,276,208,217,166,184,174
"Carlos",..,10,..,..,..,13,..,..,..,..
"Caspar",..,11,..,12,..,10,11,13,..,..
"Casper",273,273,264,242,238,252,270,232,224,229
"Caspian",21,23,25,25,69,69,76,90,86,64
"Cazper",..,..,10,12,..,..,..,..,..,..
"Ceasar",..,18,16,15,12,13,..,..,..,..
"Cesar",..,17,22,18,15,17,19,16,22,..
"Cevin",..,..,12,..,..,..,..,..,..,..
"Charbel",..,..,10,15,..,..,12,..,..,18
"Charles",..,16,20,15,20,26,13,24,29,37
"Charlie",124,157,212,246,393,524,559,709,711,627
"Chris",..,..,..,10,..,..,13,..,..,11
"Christian",75,74,71,64,68,66,55,72,59,81
"Christofer",..,..,..,..,..,..,..,..,..,..
"Christoffer",77,64,54,46,37,37,43,25,18,16
"Christopher",27,33,25,30,19,25,21,19,19,19
"Christos",..,..,..,..,..,..,..,..,10,..
"Claes",..,..,..,..,..,..,..,..,..,..
"Colin",45,59,48,71,80,77,92,115,151,199
"Collin",..,..,..,..,14,10,29,25,42,48
"Conrad",..,..,..,..,15,13,10,10,..,14
"Cornelis",..,..,11,13,14,15,25,30,21,51
"Cornelius",..,..,..,..,12,..,..,..,11,10
"Dag",..,..,..,13,12,..,17,11,23,14
"Damian",..,..,..,..,10,15,13,11,16,14
"Damien",..,..,11,13,13,16,22,17,14,11
