"tilltalsnamn","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Engla",147,209,224,169,44,40,51,37,26,16
"Enja",..,..,..,..,..,..,..,11,..,12
"Enna",..,..,..,..,..,..,..,..,..,12
"Enya",25,28,42,43,63,84,62,50,62,78
"Erica",29,31,22,20,16,..,..,..,..,..
"Erika",45,29,25,31,31,21,20,10,24,13
"Erina ",..,..,..,..,..,11,10,12,..,..
"Erna",..,10,10,..,..,..,..,..,..,..
"Erza",..,..,19,..,..,..,..,..,..,..
"Esma ",..,..,..,18,11,..,12,12,16,12
"Esmeralda",10,22,38,30,36,28,36,31,34,26
"Esra",..,..,..,..,..,..,..,..,..,..
"Estelle",39,39,33,41,38,53,64,55,33,45
"Ester",142,152,193,198,241,236,223,249,258,241
"Esther",68,79,84,77,87,102,121,130,141,141
"Estrid ",..,..,12,15,17,18,18,28,32,38
"Ethel",..,..,..,..,..,..,..,..,12,..
"Eva",14,23,22,28,36,24,26,31,36,37
"Evangeline",..,..,..,..,..,..,..,..,..,11
"Evelina",211,210,174,192,176,191,151,117,110,106
"Eveline",..,10,..,..,..,..,..,11,11,..
"Evelin",..,..,..,12,..,12,..,11,16,..
"Evelyn",15,11,11,17,23,28,17,30,31,31
"Evin",..,..,10,..,..,11,..,11,10,13
"Evy",..,..,..,..,..,..,..,..,..,15
"Faiza",..,..,..,..,..,..,..,..,..,11
"Fannie",..,..,..,..,..,..,..,..,..,..
"Fanny",208,177,165,144,130,116,119,96,83,74
"Farah ",..,..,..,..,..,..,..,11,..,..
"Fatima",43,44,45,45,64,72,57,73,68,55
"Fatma",13,10,13,10,16,15,15,14,17,20
"Felicia",531,518,658,452,431,399,372,342,345,346
"Felizia",..,15,10,12,12,11,..,..,..,..
"Fia",..,13,12,..,..,10,..,..,..,..
"Fideli",..,..,..,..,..,..,..,..,..,..
"Filippa",526,448,427,339,305,252,259,215,196,171
"Fiona",21,14,14,21,13,16,17,19,27,27
"Flora",14,25,31,25,32,41,19,41,53,40
"Florence",..,..,..,..,..,..,..,..,12,14
"Franka ",..,..,..,..,..,..,11,..,..,..
"Fredrica",..,..,..,..,..,..,..,..,..,..
"Fredrika",17,22,17,12,12,17,10,19,14,11
"Freija ",..,..,..,..,..,..,10,..,10,11
"Freja",128,254,297,306,271,332,447,418,464,453
"Freya ",..,13,19,32,28,39,34,63,61,66
"Freyja ",..,..,..,..,..,..,11,10,..,..
"Frida",406,320,293,219,199,163,146,128,101,113
"Gabriela ",13,10,12,..,20,10,16,12,..,12
"Gabriella",89,87,79,78,85,70,70,64,58,58
"Gabrielle",..,..,..,..,..,..,..,..,12,..
"Gerda ",..,..,..,..,..,..,10,..,..,..
"Gina",..,..,13,..,..,..,..,..,..,..
"Gloria",..,..,..,..,..,26,18,17,18,19
"Grace",..,11,12,10,11,..,12,15,18,10
"Greta",88,82,77,95,130,158,137,150,174,181
"Gry",15,17,20,29,31,30,39,55,42,40
"Hafsa ",..,..,..,..,..,11,..,20,12,17
"Hailey ",..,..,13,..,16,19,33,48,70,60
"Hailie ",..,..,..,..,..,..,12,..,..,14
"Haley ",..,..,11,..,..,18,14,20,14,20
"Halima",..,..,..,..,..,..,..,..,12,..
"Hana",17,13,..,25,27,21,22,26,20,20
"Hanan",..,..,..,..,..,16,11,..,11,11
"Hani",..,..,..,..,..,..,..,..,11,..
"Hanin ",10,..,..,..,..,..,..,..,..,..
"Hannah",138,149,101,104,89,77,65,74,58,55
"Hanna",659,556,463,408,355,308,259,217,203,174
"Harriet ",..,10,..,14,10,21,23,39,35,24
"Havanna ",15,..,17,16,22,27,21,18,18,11
"Havin",21,..,11,..,..,..,..,..,12,..
"Haylie",..,..,..,..,..,..,13,17,16,24
"Hedda",127,93,106,135,130,150,136,133,159,139
"Hedvig",61,57,93,108,109,121,125,127,106,103
"Hedwig ",..,..,..,..,..,..,..,13,..,..
"Heidi",12,13,14,18,14,21,25,18,28,21
"Helena",20,20,23,24,29,28,32,24,28,32
"Helen",..,..,..,..,..,..,11,..,11,10
"Helga ",..,..,..,..,11,..,..,10,..,14
"Helin",19,18,22,24,19,26,17,18,24,22
"Henny",..,..,..,13,11,13,..,15,13,15
"Henrietta",..,..,..,..,..,..,..,..,..,..
"Hiba",13,10,10,..,11,12,..,11,13,14
"Hilda",149,189,186,169,160,176,153,159,174,172
"Hilde ",..,..,..,..,..,..,..,13,..,16
"Hillevi",11,18,24,22,17,29,30,27,32,34
"Hilma",80,89,95,83,100,114,126,111,146,154
"Hoda",..,..,..,..,..,..,..,..,..,..
"Hollie ",..,..,..,..,..,..,..,12,12,23
"Holly ",..,12,15,27,32,33,51,40,57,64
"Huda ",..,..,..,..,..,..,15,10,..,12
"Hulda ",..,..,..,..,10,..,..,..,11,..
"Ibtisam",..,..,..,..,..,..,..,..,10,13
"Ida",904,849,763,639,574,575,457,452,367,321
"Idun",24,36,31,29,37,63,53,74,92,85
"Ilma",..,..,11,..,..,..,..,..,..,..
"Ilona",..,..,..,..,..,..,12,10,..,..
"Ilse",..,..,..,..,..,13,..,..,16,57
"Iman",12,14,17,22,14,16,20,23,22,16
"Ina",26,21,27,26,21,20,19,11,..,12
"Indra",30,31,30,31,21,22,17,14,10,..
"Ines",39,57,40,74,93,98,143,135,177,194
"Inez",51,82,102,104,131,150,140,123,119,135
"Ingrid",96,112,143,172,151,182,205,205,225,220
"Iqra",..,..,..,..,..,..,..,..,..,16
"Irem",..,..,..,..,..,12,..,..,..,..
"Iris",67,87,96,149,156,163,197,187,229,237
"Irma",90,106,110,122,111,96,76,89,78,76
"Isabel",72,79,67,100,75,94,95,76,112,89
"Isabella",219,271,310,311,331,390,337,364,316,261
"Isabelle",283,323,293,331,322,310,351,359,299,323
"Isabell",110,75,98,111,105,128,112,86,104,67
"Isadora",..,..,10,..,10,11,15,16,15,15
"Isa",70,73,72,55,76,68,38,57,64,56
"Isis ",..,..,..,..,..,11,..,..,..,..
"Isolde",16,14,25,31,36,32,38,23,36,28
"Isra",..,10,11,10,19,21,14,14,15,25
"Izabel ",10,..,..,..,..,..,..,..,..,..
"Izabella",65,51,62,74,50,69,44,50,35,40
"Izabelle",53,39,38,34,28,33,18,32,25,26
"Izabell",14,14,12,12,17,13,12,11,..,16
"Iza",30,19,28,19,17,15,14,12,10,15
"Jackie ",..,..,..,..,..,..,13,10,11,..
"Jacqueline",11,15,17,10,..,20,13,18,17,16
"Jamie",..,..,..,..,..,..,..,..,..,10
"Jamila",..,..,..,..,..,..,..,..,..,10
"Jana ",..,..,10,..,11,16,11,..,17,13
"Janina",11,..,..,..,..,..,..,..,..,..
"Jasmina",11,10,11,15,21,15,12,15,12,16
"Jasmine",82,89,80,85,80,71,72,67,61,70
"Jasmin",60,56,38,57,47,47,50,46,39,45
"Jeanette",..,..,..,..,..,..,..,..,..,..
"Jenna",18,20,14,18,25,31,17,13,20,21
"Jennie",33,25,11,11,13,14,..,..,..,..
"Jennifer",180,159,119,102,99,87,85,46,66,54
"Jenny",68,53,45,35,26,29,22,24,16,16
"Jessica",56,68,47,50,39,50,36,51,26,28
"Jessie",13,..,..,10,..,..,..,12,..,..
"Jessika",..,..,..,..,..,..,..,..,..,..
"Jill",13,11,..,..,17,15,..,..,14,12
"Joanna",20,18,24,..,..,13,12,13,..,..
"Johanna",253,224,165,136,121,93,82,62,59,56
"Jolene ",..,..,..,..,13,11,19,16,..,15
"Jolie ",..,..,..,..,13,19,18,12,19,21
"Jolina",15,17,14,10,15,17,..,..,..,11
"Joline",62,54,62,104,138,141,123,136,134,140
"Jolin ",11,12,16,14,..,15,11,10,..,..
"Joni ",..,..,..,..,11,..,10,22,20,27
"Jonna",110,112,73,70,68,55,55,40,43,36
"Josefina",10,10,14,..,15,16,..,15,..,11
"Josefine",188,115,106,82,79,71,61,50,52,47
"Josefin",104,93,80,77,84,58,67,53,49,30
"Josephine",37,26,28,25,21,28,30,41,33,31
"Joy ",..,..,..,..,..,12,..,11,..,..
"Judith",17,21,30,29,37,38,64,38,47,44
"Judit ",..,12,20,14,17,17,26,18,26,23
"Julia",914,921,816,817,737,820,717,680,682,606
"Julie",29,30,39,50,37,56,93,79,89,84
"Juliette",..,..,..,12,13,10,10,12,14,15
"Juli",..,..,..,..,10,12,16,12,17,18
"Junia ",..,13,..,..,11,12,14,10,12,17
"Junie ",..,13,11,19,21,32,44,46,56,46
"Juni",29,54,34,71,69,98,148,179,197,218
"Juno ",..,..,..,..,22,23,34,39,57,46
"Kajsa",183,178,135,127,128,97,89,80,69,65
"Karin",63,65,57,49,43,45,42,46,36,38
"Karla",13,11,10,11,12,..,11,17,14,23
"Karolina",35,28,25,23,15,18,12,10,10,14
"Karolin",..,..,..,..,..,..,..,..,..,..
"Katarina",18,16,22,14,..,11,..,15,..,10
"Katja",12,11,13,10,18,..,..,..,..,10
"Kayla ",..,..,10,..,..,24,16,11,13,..
"Kellie ",..,..,..,..,..,..,..,10,..,10
"Kelly",15,21,11,21,16,25,40,37,40,43
"Kendra ",..,..,..,..,11,10,..,11,..,10
"Kenza",..,..,..,..,..,..,..,..,14,10
"Kerstin",26,28,39,49,61,59,70,96,83,90
"Keyla ",..,..,..,..,..,..,..,13,14,..
"Khadija",..,..,..,..,..,..,10,..,11,11
"Kiara ",..,..,10,..,..,..,..,15,14,19
"Kimberly",..,13,..,..,11,13,10,..,17,21
"Kim",11,..,11,..,..,..,13,..,..,..
"Kira ",10,12,20,13,17,20,18,13,17,21
"Kitty ",..,..,..,..,11,..,..,..,14,..
"Klara",384,420,373,359,357,384,321,343,308,294
"Kornelia",..,..,..,..,..,..,..,..,10,11
"Kristina",28,25,36,28,16,20,17,14,21,19
"Kristin",..,..,..,..,..,..,..,..,..,..
"Laila",..,10,10,14,20,11,10,12,15,10
"Lamar ",..,..,..,..,..,..,10,16,25,15
"Lamija",..,..,..,..,..,..,..,..,10,..
"Lamis",..,..,..,10,..,..,..,..,..,..
"Lana",22,24,25,38,30,32,46,34,32,51
"Lara",49,40,50,57,57,79,56,60,58,64
"Larin",..,..,..,..,..,..,..,..,..,12
"Laura",51,60,59,91,77,91,103,82,100,113
"Lava ",11,15,11,13,..,19,..,10,..,11
"Lavin ",..,..,..,..,..,..,14,16,13,14
"Layan",..,..,..,..,..,..,..,11,11,15
"Layla ",..,..,..,..,..,..,..,11,..,..
"Leah",74,84,82,112,109,158,169,169,181,190
"Lea",109,114,120,140,151,144,146,167,163,162
"Lee ",..,..,..,..,..,12,..,..,11,..
"Leiah ",..,..,..,..,..,14,..,..,..,11
"Leia",98,129,117,138,173,207,165,159,157,178
"Leija ",..,10,..,..,10,31,20,16,16,15
"Leila",21,15,23,25,30,38,31,34,40,40
"Leja ",..,..,..,..,10,..,..,..,11,..
"Lejla",23,22,23,22,24,33,17,21,13,10
"Lena",13,13,17,13,25,25,26,31,30,37
"Leona",31,30,39,76,95,75,79,67,70,80
"Leonie ",..,..,12,..,17,18,16,23,26,22
"Leonora",12,15,18,23,16,22,17,14,24,35
"Lexie ",..,..,..,..,..,18,16,22,37,32
"Leya ",..,11,..,..,..,10,..,21,19,..
"Leyla ",..,..,10,..,16,12,16,15,16,10
"Lia",29,15,24,24,39,31,41,39,38,49
"Liana",..,..,..,..,..,..,13,..,..,16
"Li",20,12,11,10,23,31,34,45,35,31
"Lilia",..,..,..,..,..,..,..,..,..,12
"Lilian",..,..,..,16,14,19,24,21,26,42
"Lilith ",..,..,..,..,..,10,..,..,..,..
"Lilja ",..,23,34,27,35,34,37,44,46,55
"Lillian ",..,..,..,..,..,11,..,..,10,..
"Lillie",..,..,..,11,..,16,21,20,12,31
"Lilli",..,..,..,..,..,..,..,..,..,10
"Lilly",57,90,146,176,231,298,312,307,352,350
"Lilo ",..,..,..,..,..,..,14,12,12,16
"Lily ",19,26,51,77,112,137,160,181,199,247
"Lina",270,212,155,156,160,149,146,134,117,123
"Linda",49,44,44,36,31,23,30,24,22,23
"Line",33,35,28,18,38,33,33,40,49,36
"Lin",..,..,..,..,..,10,12,14,..,16
"Linnea",423,428,405,392,400,477,428,355,345,328
"Linnéa",446,414,364,320,283,263,287,258,198,262
"Linn",314,322,224,220,204,209,167,158,137,147
"Lisa",332,298,265,217,196,208,170,183,153,141
"Lisen",30,21,26,25,28,25,33,27,24,24
"Liva ",..,..,..,14,10,..,10,12,..,..
"Livia",58,69,112,118,145,205,197,185,191,204
"Liv",150,115,122,178,204,236,242,238,287,254
"Liza",13,16,16,14,..,12,..,..,..,..
"Lizette",..,..,..,..,..,..,..,..,..,..
"Lo ",18,15,20,34,45,63,49,73,77,89
"Lola ",..,..,..,..,..,..,14,20,16,17
"Lorena",..,..,..,..,..,13,..,16,10,13
"Lorin",..,16,15,15,11,..,19,20,13,14
"Lotta",13,16,10,14,..,17,12,18,23,14
"Louisa",17,11,14,14,11,17,..,11,14,10
"Louise",133,111,102,84,72,59,65,50,62,53
"Lou ",..,..,..,..,..,..,19,13,21,19
"Lova",258,250,225,272,300,324,272,233,224,203
"Lowa",26,34,30,37,43,47,50,66,69,52
"Lovelia ",..,..,..,..,..,17,12,..,15,25
"Lovi",..,..,..,..,..,..,..,..,..,12
"Lovina ",..,..,..,..,..,..,..,11,..,..
"Lovisa",402,429,372,356,338,314,285,297,277,254
"Lovis",29,39,50,57,76,87,112,119,114,134
"Lucia",12,14,10,17,13,23,14,18,19,18
"Lucy ",..,..,..,11,10,..,11,15,13,19
"Luna",29,25,27,32,34,35,52,83,82,130
"Lycka ",..,..,..,..,10,..,..,..,..,..
"Lycke ",..,..,..,..,..,..,..,15,13,12
"Lydia",34,52,50,31,36,33,36,40,53,44
"Lykke ",14,14,16,32,74,90,123,133,160,155
"Madeleine",63,40,48,37,34,25,33,22,24,19
"Madelene",20,..,..,11,..,..,..,..,..,..
"Madelen",..,..,..,..,..,..,..,..,..,..
"Madicken",14,19,17,16,21,18,10,14,16,13
"Magda",10,..,15,12,..,10,17,14,13,12
"Magdalena",23,25,24,14,21,16,24,..,16,10
"Maggie ",..,..,..,..,..,..,..,13,..,10
"Maia",..,17,11,28,35,10,13,15,14,20
"Maida",..,..,..,..,..,12,10,16,23,38
"Maija",..,..,..,..,10,11,14,..,10,11
"Maja",824,780,723,627,632,686,548,488,571,546
"Maj ",..,10,14,..,18,21,24,30,31,44
"Majken",65,59,85,111,98,132,137,179,187,169
"Malak",13,12,21,31,32,35,32,40,28,39
"Malin",121,104,74,80,54,46,43,28,22,26
"Malou",18,21,15,18,30,34,29,21,25,20
"Malva",94,107,110,93,132,110,80,80,89,66
"Malvina",11,12,..,..,..,..,10,10,..,10
"Manar",..,..,..,..,..,..,..,..,..,..
"Manda",..,..,10,..,13,..,..,11,18,14
"Maram",..,..,..,..,10,..,11,15,..,..
"Maria",132,126,143,118,117,156,118,123,119,142
"Mariam",39,34,37,57,45,66,55,64,49,53
"Marie",15,16,11,11,14,14,11,14,13,..
"Marielle",..,..,..,..,..,..,..,..,..,..
"Marika",..,..,..,..,..,..,..,..,..,..
"Marina",12,10,12,10,17,16,14,19,14,13
"Marion",..,..,..,..,..,..,..,..,10,..
"Marta",11,..,16,14,13,12,..,..,14,11
"Martina",37,32,23,19,22,12,14,16,13,14
"Marwa",10,12,12,17,19,..,15,16,14,28
"Maryama",..,..,..,..,..,..,15,..,13,19
"Maryam",16,18,23,27,30,46,42,52,58,55
"Maryan ",..,..,..,..,..,10,..,..,..,..
"Mary",12,..,12,..,17,14,12,10,20,23
"Mathilda",158,107,97,76,94,102,73,76,78,65
"Mathilde",..,..,20,12,15,17,16,10,13,25
"Matilda",473,394,382,371,382,330,282,270,221,214
"Matilde ",..,..,..,..,14,10,..,..,..,..
"Maxine",..,..,..,..,..,..,..,..,10,12
"Maya",192,215,163,172,189,182,164,155,167,146
"Medina",14,13,11,18,26,27,25,34,44,53
"Meia ",..,..,..,..,..,..,..,10,..,..
"Meija ",..,..,..,14,15,..,18,13,19,22
"Meja",143,187,220,236,306,287,231,193,231,233
"Melanie",28,28,34,42,41,31,43,56,57,56
"Melek",..,..,10,..,13,15,10,14,10,16
"Melina",69,63,73,69,101,111,110,108,125,119
"Melinda",28,27,38,31,28,42,28,39,23,30
"Melisa",17,27,25,18,24,29,17,25,29,25
"Melissa",91,97,113,111,119,141,167,183,219,191
"Melody",12,..,16,16,18,29,21,33,33,28
"Mercedes",..,..,..,..,..,..,..,..,11,..
"Merve",..,..,..,..,..,..,..,..,..,..
"Meryem",..,..,..,..,..,..,..,..,..,11
"Meya ",19,34,29,33,52,53,50,57,40,47
"Mia",31,37,37,29,35,51,34,40,48,49
"Micaela",..,..,..,..,..,..,..,..,..,..
"Michaela",21,32,17,..,..,10,16,..,14,..
"Michelle",89,88,77,88,86,62,60,57,70,63
"Mikaela",70,44,52,50,32,44,34,28,24,35
"Mika",11,17,27,19,24,27,24,18,24,17
"Mila ",..,..,12,32,23,30,47,76,87,95
"Milea ",..,..,..,..,..,..,..,12,..,13
"Milena ",..,..,..,..,..,11,..,..,..,..
"Miley ",..,..,..,..,..,10,..,..,..,..
"Milia ",..,..,12,12,22,22,27,25,31,29
"Milla",67,71,69,95,108,113,108,85,96,85
"Millie",..,19,18,15,34,35,46,50,73,59
"Milly ",..,..,10,15,18,29,28,32,27,23
"Milou ",..,..,10,..,19,28,13,21,14,11
"Mimmi",35,45,38,33,26,35,32,21,30,30
"Mina",35,30,36,28,35,34,29,37,30,34
"Minea ",12,..,13,17,19,..,16,10,23,10
"Minella ",..,..,..,..,..,..,..,18,..,11
"Minelle",..,..,..,..,..,..,13,25,21,24
"Minja ",..,..,11,10,..,..,..,11,..,15
"Minnah ",..,..,..,..,..,21,103,50,37,30
"Minna",96,92,103,109,73,133,205,139,165,110
"Minou ",..,13,17,12,19,22,18,21,32,34
"Mirabelle",..,..,..,..,..,..,..,..,..,10
"Mira",135,141,191,209,207,172,161,157,164,158
"Miranda",123,152,139,146,123,124,111,88,96,89
"Mirella",..,11,..,..,..,..,..,12,..,11
"Miriam",20,45,30,35,35,47,30,30,39,40
"Mirjam",20,20,18,12,15,13,..,..,15,12
"Mirna",..,..,..,..,..,17,..,..,..,10
"Moa",695,622,569,514,508,541,462,422,381,319
"Mollie",21,31,44,37,60,60,82,64,60,63
"Molly",245,295,385,509,558,612,588,534,488,512
"Mona",27,18,28,18,34,18,19,20,21,20
"Monika",..,..,..,..,..,..,..,..,..,..
"Munira",..,..,..,..,..,..,..,..,..,10
"My",148,127,145,114,141,180,184,201,146,160
"Myra ",12,17,11,19,15,..,20,13,10,15
"Märta",99,98,116,127,143,174,187,172,171,153
"Märtha",16,17,23,13,20,15,25,27,22,22
"Nada",..,..,..,12,12,10,10,..,11,..
"Nadia",27,30,21,30,16,43,22,32,35,21
"Nadine",12,16,18,16,15,10,14,14,11,..
"Nadin",..,..,..,..,10,..,..,..,..,..
"Nadja",28,33,40,35,29,29,26,25,23,15
"Naemi ",..,11,..,..,12,..,10,..,13,10
"Naima",16,19,28,30,26,28,25,28,24,20
"Najma",..,..,..,..,..,11,..,..,..,10
"Nancy",14,16,16,..,..,..,17,..,10,..
"Nanna",12,..,11,16,10,11,15,13,10,..
"Naomi",28,39,37,28,34,43,38,42,40,50
"Narin",..,..,13,14,11,10,..,..,11,10
"Natalia",17,22,25,22,22,20,32,16,27,17
"Natalie",138,180,165,152,125,114,101,88,85,69
"Natali",12,..,..,11,..,..,..,..,..,..
"Natasha",20,..,12,11,11,12,..,11,..,..
"Nathalie",202,203,163,197,191,158,140,134,121,109
"Nawal ",..,..,..,..,..,11,..,15,12,12
"Naya",..,..,..,..,..,..,..,..,..,16
"Neah ",..,..,14,12,..,15,23,20,12,23
"Nea",40,42,33,37,44,52,51,49,37,43
"Nejla",..,..,..,..,..,..,15,..,..,11
"Nelia ",..,..,..,13,12,19,14,15,16,26
"Nella",..,..,..,10,18,16,10,10,11,13
"Nellie",315,378,469,435,441,421,466,404,349,339
"Nelli ",20,16,19,25,15,27,23,15,11,10
"Nell",..,13,11,..,..,..,..,..,..,..
"Nelly",127,139,187,183,160,143,143,155,139,104
"Nemi ",10,12,17,12,10,21,19,12,16,13
"Nicki",..,..,..,..,..,..,..,..,10,..
"Nicole",132,135,110,107,129,129,134,111,113,128
"Nicolina",16,..,11,..,13,15,11,13,10,17
"Nike",30,58,60,56,65,54,68,59,59,58
"Niki",11,14,..,..,11,11,11,..,..,..
"Nikita",15,32,23,25,23,24,22,24,23,15
"Nikki",26,25,27,37,45,82,63,62,66,45
"Nikola",..,..,..,..,..,..,..,..,10,..
"Nikolina",..,10,..,..,..,12,12,13,13,..
"Nilla ",..,..,12,..,..,..,..,12,..,..
"Nina",67,55,57,56,54,55,53,60,49,58
"Ninja ",..,..,..,..,12,..,13,11,..,..
"Ninni",11,11,10,10,..,..,..,..,..,..
"Nisa ",..,12,..,..,..,12,13,13,..,13
"Noa ",..,..,12,..,..,..,..,..,..,..
"Noelia",10,..,14,11,21,19,23,25,28,34
"Noelle",11,13,12,19,28,43,27,40,55,40
"Nomi ",..,..,..,11,14,..,10,21,16,11
"Noomi",14,26,26,29,45,78,93,80,71,98
"Noor",..,18,17,28,32,36,40,29,26,29
"Norah",35,26,35,40,33,31,24,38,35,36
"Nora",290,316,334,319,297,253,274,247,240,252
"Norea",..,..,..,..,..,..,..,..,..,..
"Nor",..,10,16,..,13,..,..,..,..,..
"Nour",18,15,17,20,21,25,19,24,28,26
"Nova",308,362,434,458,452,499,464,418,446,388
"Nowa ",..,..,..,..,..,11,..,..,..,..
"Novalee",..,..,..,..,..,10,..,..,..,..
"Novalie ",14,14,23,22,41,71,74,85,103,119
"Novali ",..,..,..,..,..,12,14,12,17,16
"Nova-Li ",..,..,..,..,10,10,..,..,13,..
"Novelia ",..,..,..,..,..,..,..,12,..,..
"Ofelia",..,..,14,27,17,22,21,27,25,29
"Olga",15,12,14,10,17,16,13,13,11,11
"Olivia",458,436,479,485,560,693,561,529,596,611
"Oliwia",..,..,..,10,..,10,16,20,17,14
"Ophelia",..,12,..,..,..,..,12,11,15,13
"Othilia",12,..,11,20,14,23,18,19,18,23
"Otilia",..,..,..,..,10,..,12,..,..,..
"Ottilia",25,22,17,20,21,22,18,21,12,19
"Pamela",..,..,..,..,..,..,..,..,..,..
"Parisa",..,..,..,..,..,..,..,..,12,..
"Parnia",..,..,..,..,..,..,..,..,..,..
"Patricia",33,30,33,35,19,28,15,..,16,14
"Paula",31,21,23,22,13,14,17,12,12,14
"Paulina",27,44,23,31,22,28,26,27,22,22
"Pauline",15,22,..,..,13,12,14,..,..,10
"Penny ",12,..,10,15,14,21,35,53,56,76
"Perla ",..,12,..,..,..,12,..,..,..,..
"Pernilla",..,..,..,..,..,..,..,..,..,..
"Petra",18,13,12,..,12,14,..,..,..,..
"Petronella",11,..,..,..,..,..,..,..,..,..
"Philippa",28,22,15,11,..,15,13,15,11,..
"Pia",..,..,..,..,..,..,..,..,..,..
"Pixie ",..,..,..,..,16,21,10,11,12,17
"Polly ",..,..,..,11,14,14,15,20,19,17
"Rahaf",..,..,..,..,..,13,..,13,..,10
"Rahma ",..,..,..,11,..,10,..,..,..,..
"Rakel",22,11,11,12,16,16,14,21,15,20
"Rama",..,..,..,..,..,15,..,..,..,..
"Rana",..,..,..,..,..,..,..,..,..,10
"Rania",..,..,17,15,..,13,16,..,16,10
"Rawan ",..,..,..,11,..,15,..,..,..,11
"Rayaan",..,..,..,..,..,..,..,11,..,14
"Rayan",..,..,..,..,..,21,18,15,17,23
"Rebecca",127,123,112,89,97,86,73,59,59,59
"Rebecka",154,128,125,103,84,83,67,53,53,45
"Regina",..,..,..,..,..,..,..,..,..,..
"Rim",..,..,..,11,10,12,..,..,..,..
"Rio ",..,..,..,..,..,..,..,10,..,..
"Rita",..,..,..,..,..,11,..,..,12,12
"Rojin",14,..,..,..,..,..,..,..,..,..
"Ronja",145,180,167,163,161,157,157,181,179,139
"Ronya ",..,11,13,13,..,10,..,11,14,11
"Rosa",..,14,15,12,12,16,12,12,22,14
"Rosanna",..,..,..,..,..,..,..,..,..,..
"Roxanna ",..,..,..,..,10,..,10,10,..,11
"Ruth",10,10,18,28,42,43,49,59,50,65
"Rut",35,27,40,66,82,78,76,68,83,94
"Sabina",38,37,23,24,24,28,23,15,18,14
"Sabirin ",..,..,..,..,..,..,..,13,..,..
"Sabrina",17,12,15,12,11,14,14,11,15,13
"Sabrin ",..,..,..,..,..,..,12,12,..,..
"Safa",..,11,..,..,10,..,11,13,16,17
"Safia ",..,..,..,..,..,..,..,12,..,..
"Saga",503,531,492,463,506,484,431,483,501,501
"Sahra",..,..,..,..,..,..,..,..,..,11
"Sally",28,29,54,62,89,104,96,96,121,125
"Salma",34,28,35,45,37,47,37,42,61,51
"Sama ",..,..,..,..,..,..,14,..,..,..
"Samantha",11,14,17,..,17,16,21,19,17,19
"Samira",21,19,20,20,15,25,13,24,22,17
"Sana",..,..,10,..,..,..,..,16,13,12
"Sandra",144,126,83,79,72,61,41,37,37,36
"Sandy",..,..,..,..,..,..,..,..,..,..
"Sanja ",..,..,..,..,..,..,..,..,..,..
"Sanna",99,116,110,83,81,62,65,48,46,29
"Sanne",..,..,..,..,..,..,..,..,..,..
"Sarah",69,61,66,78,56,53,50,41,39,48
"Sara",462,401,384,366,329,285,254,258,224,225
"Sasha ",..,..,..,..,10,..,..,..,..,..
"Savannah",12,25,37,42,30,36,35,40,20,36
"Selena",..,..,..,..,..,..,..,..,..,17
"Selina",10,..,14,10,..,..,16,14,16,26
"Selin",14,11,20,17,14,13,14,16,20,14
"Selma",245,273,309,319,375,356,360,379,391,386
"Sham",..,..,..,..,..,..,..,..,..,11
"Shams",..,..,..,..,..,11,..,..,..,..
"Shirin",10,..,..,..,..,..,..,..,..,..
"Sibel",..,..,..,..,..,11,..,12,..,..
"Sidra ",..,..,15,..,11,10,16,15,15,15
"Sienna",..,..,12,10,12,13,10,16,..,15
"Signe",134,186,252,247,303,352,362,393,414,427
"Sigrid",64,84,107,110,120,126,147,209,256,281
"Siham ",..,..,..,..,..,..,12,10,16,11
"Silje",..,..,..,13,..,..,15,10,..,14
"Silvia",..,..,..,..,..,..,..,..,..,12
"Simona",..,10,12,..,..,..,..,..,..,..
"Simone",31,19,29,24,27,31,24,30,22,29
"Siri",103,140,206,254,280,255,285,330,290,281
"Siv ",..,..,..,..,..,..,..,11,14,..
"Smilla",109,103,102,108,86,100,69,66,39,48
"Sofia",345,336,321,240,290,239,249,285,260,258
"Sofie",113,89,85,85,73,79,69,69,53,57
"Sofi",..,..,..,11,10,..,..,..,..,..
"Sol",10,..,..,..,..,..,..,..,..,10
"Solveig",..,..,..,..,..,..,..,..,10,..
"Sonia",..,12,11,14,..,16,..,14,13,14
"Sonja",38,39,65,58,66,65,69,82,79,86
"Sophia",39,52,31,34,37,48,52,44,46,75
"Sophie",40,31,43,44,59,47,57,58,52,55
"Stella",247,350,378,331,403,413,458,510,499,551
"Stephanie",21,26,27,21,22,28,29,30,27,35
"Stina",253,235,226,236,255,240,227,215,217,183
"Sumaya",..,..,..,19,15,19,14,32,21,37
"Sundus",..,..,..,..,..,..,..,..,..,13
"Susanna",..,..,14,..,..,..,..,..,..,..
"Svea",66,78,110,154,185,179,173,196,217,173
"Talia",..,..,..,..,..,..,..,..,..,17
"Tamara",..,..,..,..,11,13,..,..,..,..
"Tania ",..,10,..,..,..,..,..,..,..,..
"Tanja",..,..,11,11,..,..,..,..,..,..
"Tanya",..,..,..,..,..,..,..,..,..,..
"Tara",27,31,23,24,16,15,20,19,22,21
"Tea",46,94,60,70,49,62,44,44,54,17
"Tekla",13,17,14,15,13,..,..,12,..,..
"Telma",11,10,..,..,..,..,..,10,12,..
"Teodora",..,12,..,10,10,..,..,..,13,..
